duration,title,album,image_200,image_400,image_800,shortUrl,contentLang,release_date,gaana_id,provider,singers
311,Yeh Aaina,Kabir Singh,https://a10.gaanacdn.com/gn_img/song/XzVWRLKdqR/VWRDpn60Kd/size_m_1560502291.jpg,https://a10.gaanacdn.com/gn_img/song/XzVWRLKdqR/VWRDpn60Kd/size_l_1560502291.jpg,https://a10.gaanacdn.com/gn_img/song/XzVWRLKdqR/VWRDpn60Kd/size_xl_1560502291.jpg,https://gaana.com/song/yeh-aaina,hi,"Jun 14, 2019",27136613,gaana,{'Shreya Ghoshal'}
326,Tu Mila To Haina,De De Pyaar De,https://a10.gaanacdn.com/gn_img/song/XYybzNrb2g/ybzomrQ9K2/size_m_1555919544.jpg,https://a10.gaanacdn.com/gn_img/song/XYybzNrb2g/ybzomrQ9K2/size_l_1555919544.jpg,https://a10.gaanacdn.com/gn_img/song/XYybzNrb2g/ybzomrQ9K2/size_xl_1555919544.jpg,https://gaana.com/song/tu-mila-to-haina,hi,"Apr 22, 2019",26110366,gaana,"{'Arijit Singh', ""Suzanne D'Mello"", 'Samantha Noella', 'Sunayana Das Gupta'}"
171,Tu Laung Main Elaachi,Luka Chuppi,https://a10.gaanacdn.com/gn_img/song/4Z9bqgo3yQ/9bq9yPJPby/size_m_1550558241.jpg,https://a10.gaanacdn.com/gn_img/song/4Z9bqgo3yQ/9bq9yPJPby/size_l_1550558241.jpg,https://a10.gaanacdn.com/gn_img/song/4Z9bqgo3yQ/9bq9yPJPby/size_xl_1550558241.jpg,https://gaana.com/song/tu-laung-main-elaachi,hi,"Feb 19, 2019",25546747,gaana,{'Tulsi Kumar'}
196,Mungda,Total Dhamaal,https://a10.gaanacdn.com/gn_img/song/81l3Mye3rM/l3M7q1X1br/size_m_1549281585.jpg,https://a10.gaanacdn.com/gn_img/song/81l3Mye3rM/l3M7q1X1br/size_l_1549281585.jpg,https://a10.gaanacdn.com/gn_img/song/81l3Mye3rM/l3M7q1X1br/size_xl_1549281585.jpg,https://gaana.com/song/mungda-10,hi,"Feb 05, 2019",25433873,gaana,"{'Jyotica Tangri', 'Subhro Ganguly', 'Shaan'}"
165,Sab Sahi Hai Bro,Sab Sahi Hai Bro (Inspired by &quot;Aladdin&quot;),https://a10.gaanacdn.com/gn_img/albums/koMWQBbqLE/oMWQ15lXWq/size_m.jpg,https://a10.gaanacdn.com/gn_img/albums/koMWQBbqLE/oMWQ15lXWq/size_m.jpg,https://a10.gaanacdn.com/gn_img/albums/koMWQBbqLE/oMWQ15lXWq/size_m.jpg,https://gaana.com/song/sab-sahi-hai-bro,hi,"May 24, 2019",26790356,gaana,{'Badshah'}
170,Mukhda Vekh Ke,De De Pyaar De,https://a10.gaanacdn.com/gn_img/song/zLp36v3rGe/p36Llrp0br/size_m_1557474165.jpg,https://a10.gaanacdn.com/gn_img/song/zLp36v3rGe/p36Llrp0br/size_l_1557474165.jpg,https://a10.gaanacdn.com/gn_img/song/zLp36v3rGe/p36Llrp0br/size_xl_1557474165.jpg,https://gaana.com/song/mukhda-vekh-ke,hi,"May 09, 2019",26489524,gaana,"{'Dhvani Bhanushali', 'Mika Singh'}"
320,Ghar More Pardesiya,Kalank,https://a10.gaanacdn.com/gn_img/song/ZaP37OR3Dy/P37jYo26KD/size_m_1552891365.jpg,https://a10.gaanacdn.com/gn_img/song/ZaP37OR3Dy/P37jYo26KD/size_l_1552891365.jpg,https://a10.gaanacdn.com/gn_img/song/ZaP37OR3Dy/P37jYo26KD/size_xl_1552891365.jpg,https://gaana.com/song/ghar-more-pardesiya,hi,"Mar 18, 2019",25750955,gaana,{'Shreya Ghoshal'}
200,Haaye Oye,Haaye Oye,https://a10.gaanacdn.com/gn_img/albums/koMWQ7BKqL/oMWQq8MBWq/size_m_1561531992.jpg,https://a10.gaanacdn.com/gn_img/albums/koMWQ7BKqL/oMWQq8MBWq/size_l_1561531992.jpg,https://a10.gaanacdn.com/gn_img/albums/koMWQ7BKqL/oMWQq8MBWq/size_xl_1561531992.jpg,https://gaana.com/song/haaye-oye-1,hi,"Mar 22, 2019",25795727,gaana,"{'Ash King', 'Qaran'}"
178,Belly Ring,Belly Ring,https://a10.gaanacdn.com/gn_img/song/P7m3GNKqxo/m3Ggxaql3q/size_m_1561444540.jpg,https://a10.gaanacdn.com/gn_img/song/P7m3GNKqxo/m3Ggxaql3q/size_l_1561444540.jpg,https://a10.gaanacdn.com/gn_img/song/P7m3GNKqxo/m3Ggxaql3q/size_xl_1561444540.jpg,https://gaana.com/song/belly-ring-2,hi,"Apr 13, 2019",25935427,gaana,"{'Shaggy', 'Mika Singh'}"
249,Dil,Dil,https://a10.gaanacdn.com/gn_img/song/oAJbDlbnL8/JbDyvz8xKn/size_m_1561447054.jpg,https://a10.gaanacdn.com/gn_img/song/oAJbDlbnL8/JbDyvz8xKn/size_l_1561447054.jpg,https://a10.gaanacdn.com/gn_img/song/oAJbDlbnL8/JbDyvz8xKn/size_xl_1561447054.jpg,https://gaana.com/song/dil-201,hi,"May 01, 2019",26283116,gaana,"{'Geet Barua', 'Jackie Foster'}"
230,Tere Do Naina,Naina,https://a10.gaanacdn.com/gn_img/song/lJvKa56KDV/vKa7l8anWD/size_m_1558444896.jpg,https://a10.gaanacdn.com/gn_img/song/lJvKa56KDV/vKa7l8anWD/size_l_1558444896.jpg,https://a10.gaanacdn.com/gn_img/song/lJvKa56KDV/vKa7l8anWD/size_xl_1558444896.jpg,https://gaana.com/song/tere-do-naina,hi,"May 22, 2019",26775388,gaana,{'Ankit Tiwari'}
168,Sanu Kehndi,Kesari,https://a10.gaanacdn.com/gn_img/song/P7m3GNKqxo/m3GgZme53q/size_m_1551354864.jpg,https://a10.gaanacdn.com/gn_img/song/P7m3GNKqxo/m3GgZme53q/size_l_1551354864.jpg,https://a10.gaanacdn.com/gn_img/song/P7m3GNKqxo/m3GgZme53q/size_xl_1551354864.jpg,https://gaana.com/song/sanu-kehndi,hi,"Feb 27, 2019",25582527,gaana,"{'Romy', 'Brijesh Shandilya'}"
277,Jee Len De,Romeo Akbar Walter - RAW,https://a10.gaanacdn.com/gn_img/song/R7vKX6WmrP/vKXkBORxbm/size_m_1553078238.jpg,https://a10.gaanacdn.com/gn_img/song/R7vKX6WmrP/vKXkBORxbm/size_l_1553078238.jpg,https://a10.gaanacdn.com/gn_img/song/R7vKX6WmrP/vKXkBORxbm/size_xl_1553078238.jpg,https://gaana.com/song/jee-len-de,hi,"Mar 20, 2019",25781001,gaana,{'Mohit Chauhan'}
342,Tabaah Ho Gaye,Kalank,https://a10.gaanacdn.com/gn_img/song/dwN398KDPa/N39aDoBX3D/size_m_1554799837.jpg,https://a10.gaanacdn.com/gn_img/song/dwN398KDPa/N39aDoBX3D/size_l_1554799837.jpg,https://a10.gaanacdn.com/gn_img/song/dwN398KDPa/N39aDoBX3D/size_xl_1554799837.jpg,https://gaana.com/song/tabaah-ho-gaye,hi,"Apr 09, 2019",25918433,gaana,{'Shreya Ghoshal'}
267,Vaddi Sharaban,De De Pyaar De,https://a10.gaanacdn.com/gn_img/song/BZgWoQOK2d/gWoe2adPK2/size_m_1555051935.jpg,https://a10.gaanacdn.com/gn_img/song/BZgWoQOK2d/gWoe2adPK2/size_l_1555051935.jpg,https://a10.gaanacdn.com/gn_img/song/BZgWoQOK2d/gWoe2adPK2/size_xl_1555051935.jpg,https://gaana.com/song/vaddi-sharaban,hi,"Apr 12, 2019",25935256,gaana,"{'Navraj Hans', 'Sunidhi Chauhan'}"
192,Aila Re,Malaal,https://a10.gaanacdn.com/gn_img/song/lJvKa56KDV/vKa7m8RxWD/size_m_1559064006.jpg,https://a10.gaanacdn.com/gn_img/song/lJvKa56KDV/vKa7m8RxWD/size_l_1559064006.jpg,https://a10.gaanacdn.com/gn_img/song/lJvKa56KDV/vKa7m8RxWD/size_xl_1559064006.jpg,https://gaana.com/song/aila-re-3,hi,"May 29, 2019",26945988,gaana,"{'Vishal Dadlani', 'Shreyas Puranik'}"
